Qty,Value,Device,Package,Parts,Description,DIGIKEY,MOUSER,NEWARK,RICHARDSON_RFPD
3,TAIYO-YUDEN-AH086M,TAIYO-YUDEN-AH086M,TAIYO-YUDEN-AH086M,"A1, A2, A3",UWB Antenna - 3.1-8GHz,587-2204-1-ND,,,
1,FRACTUS-2.4GHZ-FR05-S1-N-0-102,FRACTUS-2.4GHZ-FR05-S1-N-0-102,FRACTUS-ANTENNA-FR05-S1-N-0-102,A4,"Fractus Compact Reach XtendTM chip antenna is engineered specifically for Bluetooth,",,,,FR05-S1-N-0102B
1,BAL-NRF01D3,BAL-NRF01D3,BAL-NRF01D3,B1,"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,",497-13637-1-ND,511-BAL-NRF01D3,,
1,0.8pF,CAPACITOR,0402_CAP,C1,0402 Capacitor,490-6269-1-ND,,,
2,12pF,CAPACITOR,0402_CAP,"C2, C3",0402 Capacitor,490-6197-1-ND,,,
1,1nF,CAPACITOR,0402_CAP,C4,0402 Capacitor,490-1303-1-ND,,,
1,2.2nF,CAPACITOR,0402_CAP,C5,0402 Capacitor,490-5419-1-ND,,,
1,10nF,CAPACITOR,0402_CAP,C15,0402 Capacitor,445-1260-1-ND,,,
1,47nF,CAPACITOR,0402_CAP,C6,0402 Capacitor,445-1264-1-ND,,,
3,0.1uF,CAPACITOR,0402_CAP,"C7, C8, C9",0402 Capacitor,490-1318-1-ND,,,
2,1uF,CAPACITOR,0402_CAP,"C12, C13",0402 Capacitor,445-4998-1-ND,,,
3,4.7uF,CAPACITOR,0402_CAP,"C10, C11, C14",0402 Capacitor,445-5947-1-ND,,,
1,GREEN,LED0603,LED-0603,D1,LEDs,160-1446-1-ND,,,
1,BLUE,LED0603,LED-0603,D2,LEDs,160-1837-1-ND,,,
1,MICRO_USB_B_HIROSE_ZX62-B-5PA(11),MICRO_USB_B_HIROSE_ZX62-B-5PA(11),USB_MICRO_B-HIROSE-ZX62-B-5PA(11),J3,"Connector Receptacle USB - micro B 2.0 5 Position Surface Mount, Right Angle, Horizontal",H11634CT-ND,798-ZX62-B-5PA11,86P8793,
1,15nH,INDUCTOR0402,0402_CAP,L1,INDUCTOR HI FREQ 15NH 5% 0402,587-1521-1-ND,,,
1,10uH,INDUCTOR0603,0603_CAP,L2,INDUCTOR 10UH 50MA 0603,490-4025-1-ND,,,
2,1k,RESISTOR0402_RES,0402_RES,"R1, R2",Resistor,RHM1.0KCECT-ND,,,
1,2k 1%,RESISTOR0402_RES,0402_RES,R3,Resistor,RHM2KCDCT-ND,,,
2,10k,RESISTOR0402_RES,0402_RES,"R4, R5",Resistor,RHM10.0KCDCT-ND,,,
1,12k,RESISTOR0402_RES,0402_RES,R6,Resistor,RHM12.0KCDCT-ND,,,
1,2.2M,RESISTOR0402_RES,0402_RES,R7,Resistor,541-2.20MLCT-ND,,,
1,10M,RESISTOR0402_RES,0402_RES,R8,Resistor,RHM10MBICT-ND,,,
1,NRF51822QF,NRF51822QF,QFN-48-6MM,U1,Multiprotocol BluetoothÂ® 4.0 low energy/2.4 GHz RF SoC,1490-1042-1-ND,949-NRF51822-QFAB-R7,,
1,TRIPOINT,TRIPOINT,TRIPOINT,U2,UWB Ranging Module,,,,
1,LTC4065,LTC4065,DFN-6/2MM,U3,LION/LIPO Battery Charging IC Low current,LTC4065LEDC#TRMPBFCT-ND,,,
1,MAX8887EZK33+T,MAX8887EZK33+T,SOT-23-5,U4,IC REG LDO 3.3V 0.3A TSOT23-5,MAX8887EZK33+TCT-ND,,,
1,16MHz,TXC-8Y,TXC-8Y,X1,CRYSTAL 16MHZ 8PF SMD,887-2003-1-ND,,,
